,WildfireYr1,WildfireYr2,WildfireYr3,WildfireYr4,WildfireYr5,WildfireYr6,WildfireYr7,WildfireYr8,WildfireYr9,WildfireYr10
124,0,0,0,0,0,0,0,0,0,0
125,0,0,0,82353.21558,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0
127,0,41525.90317,57313.69372,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,32141.49517,0,0
130,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,23916.23695,73315.17361
132,524746.7586,49844.71984,0,62370.12617,0,0,0,0,100294.5947,882017.1778
133,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,33170.04522,0,0
136,169748.1445,70172.0354,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0
138,142482.944,0,0,0,0,0,0,0,0,0
139,0,0,83806.49767,0,0,0,0,0,0,0
140,101450.2752,0,0,0,0,0,0,0,0,60701.49528
141,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,99005.3412,0,0,0,0,0
144,0,0,0,0,0,0,0,0,641675.1728,0
145,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,37249.96178
149,0,61737.01515,0,43475.20866,271554.6857,0,0,0,0,0
150,0,0,0,0,164273.1614,0,0,0,59045.99024,0
151,0,0,0,0,0,0,0,0,8857.048608,0
152,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,358878.7843,0,0
154,364253.9592,0,0,0,0,0,0,0,0,0
155,0,0,0,0,26510.71883,0,0,0,0,0
156,0,0,0,0,166254.5014,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,37151.87651
160,0,0,0,0,0,0,1593385.112,0,0,0
161,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,31608.22763,0
163,0,0,0,0,0,108489.4605,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,104754.0313
166,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0
168,208306.9839,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,487687.8006,0,0,0
171,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0
173,17480.4452,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0
177,0,50037.68228,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0
181,0,0,20486.1573,0,0,0,0,0,0,0
182,0,0,46712.74947,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,245275.6635,0
185,0,0,0,0,0,0,0,22004.99166,0,0
186,0,0,45820.48676,0,0,0,0,0,0,0
187,90648.47986,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,194733.8839,0,0
189,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0
191,0,0,0,547598.7094,0,0,0,0,0,0
192,0,52221.51094,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,125254.4895,0
195,0,0,143606.4033,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,340527.5947,0,0
197,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,136432.9824
199,0,0,0,0,0,0,0,0,0,0
200,0,943353.2499,0,0,0,0,0,0,0,40705.85536
201,0,0,0,106877.5428,0,0,14267.98352,0,0,0
202,0,0,0,0,0,26186.8508,0,0,0,0
203,1128714.585,41191.33073,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,195761.4838,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,26566.65254,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,959335.567,0,0,0,0,0
211,0,0,0,0,0,0,0,48886.55464,26714.3746,0
212,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0
214,0,0,0,61548.97945,0,0,0,0,0,0
215,0,0,0,0,0,0,24948.87784,0,0,0
216,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,23524.98834,33985.83588,0,0
218,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,179134.5095,0,0
220,0,0,0,0,0,90520.25739,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0
223,69928.34321,0,0,0,0,0,0,0,0,0
224,0,0,0,0,6483897.132,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0
226,0,0,11600.05706,0,0,0,0,0,0,0
227,0,0,0,67383.41408,122254.3509,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0
231,0,72628.39162,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0
233,0,178984.9368,0,0,0,0,0,0,0,0
234,0,0,0,0,0,75697.02518,0,0,0,0
235,0,0,0,0,0,0,0,45816.55945,261367.0027,0
236,0,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,45485.56743,0,0,0,0,0
240,0,0,0,0,0,0,0,0,74260.6483,38643.50636
241,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0
243,23987.69705,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0
245,0,0,73266.76936,714087.6604,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,18088.33465,0
248,0,0,0,0,0,0,0,0,0,0
249,108615.1412,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,30943.4558,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0,0,0,0
