,HiWindLossYr1,HiWindLossYr2,HiWindLossYr3,HiWindLossYr4,HiWindLossYr5,HiWindLossYr6,HiWindLossYr7,HiWindLossYr8,HiWindLossYr9,HiWindLossYr10
81,0,21260.1648,0,0,1899.459876,0,69462.29478,0,17739.88971,0
82,10740.0125,0,0,0,0,0,100731.3561,0,0,0
83,36256.51841,150932.4502,0,0,0,0,0,127743.9786,435433.8646,0
84,0,0,0,0,0,0,0,66150.00102,0,0
85,274004.9108,2034.660001,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,3852.701164,0,0
87,52553.34036,0,0,0,11417.84435,19747.14034,0,0,59428.40107,0
88,0,0,0,0,19003.81968,0,0,0,0,0
89,0,0,2951.60433,1572.282608,0,10173.07904,0,55.18366011,0,8204.791137
90,168313.1823,21061.63287,0,0,62.21447232,0,0,0,0,0
91,3073.75008,0,0,0,0,0,0,89388.05606,2952.740565,0
92,0,11.17849813,0,0,0,0,40773.75738,0,55979.32163,30638.39609
93,75936.72061,0,1295.04833,0,0,141055.3715,0,0,0,0
94,0,0,0,0,21929.29548,0,0,4670.567301,0,28585.95987
95,0,0,0,15409.05143,41202.02509,305606.2591,277517.6961,0,8561.365681,0
96,195939.2721,0,0,10056.24007,0,0,0,0,0,0
97,0,0,0,0,2771.204263,0,0,0,0,0
98,11196.84796,0,0,26379.70792,0,227802.566,16917.24726,0,109214.1614,0
99,0,6593.59028,0,0,0,255.2863185,0,132832.5402,0,0
100,0,0,30512.93044,0,0,0,9637.692834,0,0,0
101,0,0,0,0,19917.7463,18959.75935,5901.182061,0,0,0
102,0,22999.72506,38375.02919,6858.574147,0,0,6373.121537,63950.22238,0,0
103,480307.7989,0,0,0,0,0,0,0,9883.258549,0
104,10100.45679,0,253.0417552,0,0,0,1886.430978,0,0,34283.05592
105,33300.51741,156426.1187,0,0,0,17325.10563,0,0,806.1024764,0
106,15435.59706,0,0,0,0,0,0,0,0,0
107,0,62333.31928,0,0,32364.48228,0,0,281832.8677,0,0
108,6956.71853,104.7690104,753.8756111,0,21.82124168,29381.70316,0,0,0,0
109,45224.99127,3601.709806,0,133856.3223,73166.8283,0,0,0,0,0
110,0,0,43496.86747,0,15876.50585,3695.846539,0,0,0,0
111,1522.269339,0,0,2635.57721,0,0,0,0,0,5551.421008
112,0,0,0,25296.22089,42297.92825,0,66703.60708,0,10884.39192,0
113,0,216080.1361,0,0,3881.29214,0,0,12355.35222,25086.05552,7098.984216
114,0,31013.97895,0,0,261173.2002,0,0,349.9571007,0,0
115,3528.112607,7969.843321,14405.66453,0,0,29048.0354,103.6705627,0,0,0
116,0,697.4399366,77.50889641,0,0,87578.19062,0,2099.484799,0,24235.69556
117,0,0,0,44850.2821,0,0,0,4619.358529,0,0
118,3536.134178,4249.317016,116337.6731,0,0,10913.9528,12582.73535,47409.44062,0,0
119,0,0,0,10198.00912,0,0,0,0,0,0
120,33159.53414,0,0,0,0,0,12.29564278,0,0,7923.302149
121,0,0,16182.90178,0,0,0,0,0,0,0
122,0,0,5171.868824,0,0,53653.14184,0,0,0,0
123,64.20817658,0,11308.19913,118963.6401,0,0,0,31682.08679,94441.46404,0
124,0,0,0,0,0,61939.37545,0,0,0,1757.316853
125,0,0,0,998.6484103,0,0,12144.03943,0,2507.422656,0
126,0,0,0,0,0,0,0,0,0,0
127,31988.75624,456215.6778,0,0,0,60867.61599,0,0,0,211796.2903
128,0,0,39262.83765,0,0,0,0,0,0,0
129,2085.133926,0,0,0,0,0,0,0,0,0
130,0,3843.537851,0,0,0,0,0,457065.1605,10027.23276,0
131,0,0,0,16432.92882,62757.22159,0,0,0,0,195624.8016
132,0,0,25633.6526,0,0,0,10197.91774,0,0,0
133,0,0,0,27763.05177,6768.452892,0,0,29773.11034,38256.74601,0
134,0,1752.492623,0,0,0,0,284.0462726,0,0,0
135,0,5347.193464,0,17143.03262,0,0,0,0,0,0
136,0,225417.1303,0,0,96719.24196,0,0,103446.4122,0,0
137,0,0,0,0,0,0,0,2289.220963,0,233513.746
138,0,0,0,3747.519795,0,11061.68694,0,404.8849054,0,0
139,329.1611361,68906.10516,0,0,43426.10574,22607.96983,23510.58327,0,0,49222.36689
140,332890.0279,0,0,0,0,0,821.2129245,0,0,0
141,0,0,0,0,31135.1839,0,0,0,0,0
142,0,0,0,0,0,4884.247379,0,0,0,7487.196911
143,4485.811377,0,14928.10616,48.76063446,0,0,0,0,551.3623087,502.604897
144,0,0,0,89171.92516,0,0,3591.025507,0,0,0
145,0,0,0,0,23348.13339,23232.53666,0,37161.03063,0,0
146,0,29673.8223,0,0,0,0,0,1801.246856,0,0
147,82710.29741,0,0,51141.03716,0,94963.35902,13062.34672,0,3213.478892,0
148,0,0,0,0,0,29407.55368,0,0,66928.92183,0
149,0,0,0,0,0,0,0,0,0,0
150,0,0,2311.692026,0,29205.49337,8918.968495,13498.04694,0,0,55859.49573
151,28034.19038,71900.15982,0,30622.50765,0,0,0,0,0,0
152,0,0,13618.98125,1572.984265,0,0,0,109898.0276,0,0
153,0,280.125025,0,15591.20682,0,0,0,9685.33988,0,0
154,0,26176.13763,0,0,4131.164242,0,0,0,345375.5917,11783.45447
155,0,701.4846926,1751.013688,0,0,2521.530728,0,0,0,0
156,0,0,0,0,0,23559.29766,0,92351.54406,0,0
157,72551.48952,0,39557.55154,0,0,66241.40386,0,0,0,0
158,30372.15372,8675.454866,8691.344745,0,0,0,0,117024.9739,88548.72791,0
159,263406.2743,0,11312.62219,437745.5057,0,0,0,0,0,0
160,0,14244.00408,53271.85232,502850.6551,0,8517.452923,0,0,0,0
161,0,27106.94195,19565.42568,17199.64877,0,0,0,0,2575.187806,201.7197546
162,0,0,66038.96113,0,408.3509022,8467.727689,0,0,0,0
163,0,0,0,0,57337.52017,0,0,0,0,0
164,12614.34038,0,0,0,35624.70335,3678.995822,1825.32225,6047.653711,0,0
165,0,31707.73893,0,80864.99727,3735.253314,0,0,276415.5921,0,1797.008941
166,0,0,0,0,0,0,16405.1284,0,0,0
167,131814.4595,3168.120255,149595.7463,0,0,0,0,0,0,13717.96882
168,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,19291.18059,44036.47201,13978.72327,0,118903.3856
170,36115.9356,29686.98513,0,1207.686985,0,0,0,0,0,4470.543698
171,0,0,0,0,6377.74162,0,0,0,0,0
172,0,0,5075.709324,0,0,0,434.5232625,20276.16419,0,0
173,0,0,48276.51005,0,23465.01775,0,40572.91718,0,0,7898.169934
174,0,57614.83629,0,0,0,65471.0128,441.0432524,0,0,1876.15323
175,0,0,0,63685.80902,0,0,0,0,531.4861801,0
176,0,6558.399654,53152.01207,0,46253.30307,64459.34982,0,0,0,2989.480723
177,0,33447.98091,0,0,1196.313582,0,0,52593.61552,0.819562167,34079.77736
178,0,0,0,0,0,12562.03858,0,232.8862506,0,10942.7708
179,40709.39684,0,0,29600.63864,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,1307781.754
181,0,2664.309944,1503.208099,0,37975.90176,3936.201311,0,0,0,481.1283323
182,6993.316652,0,9858.998072,0,0,0,0,0,0,1006.078284
183,0,0,17526.19064,0,0,0,34511.8328,1441.64242,0,0
184,0,0,61908.01537,0,0,0,0,0,0,0
185,0,0,24069.97193,0,0,21630.39489,146540.4233,43129.12366,1284.321268,0
186,0,0,0,0,0,0,7791.642626,5753.957091,0,0
187,0,180.6384674,0,0,0,0,19428.19827,0,0,0
188,0,2883.412709,82787.40669,0,0,0,0,0,12065.16392,80677.24366
189,0,0,0,0,0,0,1603630.311,0,0,0
190,0,0,14740.55472,0,5968.921313,0,155412.9908,0,0,0
191,0,0,0,867944.0276,0,0,64401.28604,0,0,0
192,44226.27662,11891.62323,0,0,0,0,17377.88316,4633.507847,0,0
193,0,7777.055335,0,0,0,0,154933.9303,0,0,0
194,0,0,0,0,15873.34452,44024.5233,0,0,0,43552.85187
195,0,7139.952596,0,0,0,12223.0637,39877.73382,0,0,0
196,0,0,2180.97666,64170.39439,16298.01878,29188.02288,315.1868896,0,4629.585051,0
197,25050.42094,86630.65861,0,1523.712539,143639.7116,0,0,0,0,0
198,0,16844.32401,0,0,0,0,18001.60738,0,56.34067328,84987.33859
199,0,0,0,0,0,0,0,0,0,0
200,84940.67801,3332.289306,17620.92751,20406.55621,29951.89212,7747.539793,0,0,45687.27038,31063.7984
201,2351.522769,6131.299398,13975.23652,0,0,0,0,0,688.552875,100531.7009
202,0,1836.028976,5239.253627,0,0,0,65004.60041,0,0,0
203,84875.01933,0,0,31934.05012,18919.33454,0,0,0,0,0
204,0,1596.476763,0,0,0,0,0,60077.30422,0,5.435554375
205,0,0,0,0,1085.1328,1602038.381,0,0,0,80114.47256
206,0,0,0,0,0,4282.722517,0,0,0,21351.5909
207,0,0,0,0,0,0,0,8791.02006,0,0
208,0,171872.7599,0,6568.950152,0,0,0,0,0,0
209,0,0,0,0,0,0,0,1969.95339,0,0
210,0,0,0,0,911.2571765,0,0,0,0,0
211,0,3868.86122,8164.545387,0,0,69289.53132,0,2778.996062,87691.2436,0
212,0,49985.30584,27598.34276,0,0,0,0,0,0,0
213,6106.532593,32695.40704,0,0,0,0,0,0,0,166.5501439
214,6348.989226,3966.71287,0,0,126914.346,0,0,50176.43425,0,0
215,0,14451.39226,0,0,0,20211.67154,0,0,0,0
216,171.9562866,176903.1083,12055.0622,12487.51285,0,0,0,85621.34602,55896.85735,4737.078538
217,3276.432876,0,317.8183131,0,5465.122954,0,0,1172.466081,11085.7731,0
218,29563.84243,0,0,236.8039548,17230.63641,26722.79409,0,54994.6967,0,0
219,0,0,0,0,0,0,20278.30509,26158.70263,0,0
220,5777.250606,1496.773216,78439.09896,1309.631111,0,0,0,13391.60738,41955.38837,0
221,0,39843.15035,0,0,0,0,0,0,0,0
222,0,0,0,0,64601.29517,62802.84542,13775.17403,220.8201388,0,0
223,0,0,231243.6355,114099.7659,0,0,12901.34402,0,0,0
224,0,0,0,0,0,0,0,0,0,0
225,0,0,259.5525257,0,0,0,90306.10479,0,0,10342.46963
226,0,310583.8757,3786.257511,0,0,0,0,13191.22269,0,0
227,0,0,0,0,36153.9667,0,41337.36008,0,0,0
228,0,0,0,0,24027.08467,0,0,13866.63732,0,0
229,114652.5962,0,0,3374.011832,82224.62657,26849.81981,2356.136196,129268.9801,0,0
230,0,0,215858.8328,0,50800.85198,0,0,0,0,0
231,0,0,0,0,0,0,0,0,139555.2259,0
232,0,1937.062343,0,42111.065,52757.05825,162152.9621,4158.150414,0,0,31068.27158
233,0,0,0,0,8.234861102,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,2184.130987,0,19649.34844,2736.160217,0,0
236,0,0,0,0,0,0,0,0,0,0
237,1909.355549,1963.111447,0,2.215724626,0,224006.8446,0,0,6588.127571,0
238,70683.55961,0,62186.31018,0,0,26106.56703,0,0,0,677.2366517
239,0,19520.6844,14800.93296,0,0,0,556.0085694,4152.75662,492235.6237,0
240,0,0,0,0,0,0,0,0,0,0
241,0,0,4622.070893,0,0,0,0,0,0,7655.627771
242,311.4978442,0,1255502.847,0,95492.54323,0,0,0,323704.3394,74602.24608
243,0,0,0,577201.4358,0,0,8140.63985,0,0,10266.56474
244,214933.5337,0,0,0,0,0,4972.494615,155624.9023,0,0
245,0,0,0,27336.80395,6442.485731,0,0,0,0,0
246,0,0,0,0,0,21732.46205,52906.91008,0,0,7305.274986
247,0,3620.200625,0,0,9956.065696,77844.39606,0,0,0,0
248,24229.62585,0,0,0,142926.752,47666.69349,13261.322,45.32874729,2617.054322,1240.14951
249,0,0,0,68627.70765,0,0,0,190739.3563,0,0
250,0,0,0,0,0,0,9610.221368,0,0,647387.72
251,961.862657,0,0,0,0,0,58358.59152,0,0,1293.502838
252,90.58168834,0,35397.81784,8413.505927,0,0,0,0,0,0
253,11591.2785,0,0,0,48353.85061,0,0,0,0,0
254,0,160263.2265,0,0,0,704.7720267,0,0,0,0
255,0,0,0,0,4281.883015,0,0,0,151298.2347,0
256,0,1743.609857,0,0,0,99825.46781,0,0,0,0
257,49223.14854,42458.99214,4225.985059,0,17894.54609,0,0,0,0,0
258,0,54786.15595,0,1207.013874,0,0,0,0,0,0
259,0,0,7684.580196,357.4805926,0,0,0,0,0,0
260,18163.98807,0,0,0,0,0,0,0,0,0
261,0,8577.639491,0,1472.093485,0,0,74156.27831,9225.020345,18452.88723,0
262,0,0,0,0,44037.20065,39195.19702,0,0,0,731.8689675
263,0,179714.4986,0,0,29258.36953,0,7271.22322,0,0,0
264,0,0,0,0,2744.377956,0,0,422612.6188,0,0
265,0,0,0,0,5067.803628,0,0,0,0,0
266,799.2028275,0,0,0,0,0,85307.559,0,0,0
267,26830.3519,15395.56862,0,0,0,15541.71242,0,0,70600.41151,0
268,0,0,0,0,0,0,0,0,0,0
269,0,0,30433.10555,0,0,0,0,225723.864,0,10110.79553
270,0,0,0,0,0,0,1731.897661,92297.13236,0,25012.44839
271,0,0,0,12904.7017,0,0,0,0,0,0
272,0,0,0,0,0,37548.40005,0,0,21206.44484,0
273,3268.96483,0,8240.668881,13111.2,0,0,31586.0501,29267.31799,0,0
274,0,17312.12544,0,0,0,9533.799411,0,0,0,18653.5469
275,0,0,4354.526782,72373.96979,12791.30189,4942.048436,0,32643.2414,0,0
276,0,0,0,0,0,0,0,0,0,0
277,21729.20597,0,0,0,0,0,0,29957.85303,104543.7063,22587.96421
278,0,0,1424.457593,7236.561194,88330.7852,94759.39412,0,0,0,0
279,0,0,0,0,14299.40562,0,0,0,34958.94501,32.14678343
280,10808.12855,89444.21344,653869.7483,0,0,0,0,0,0,0
281,0,0,0,140782.2953,0,225.9585162,0,0,0,0
