,OtherHazNetCostYr1_,OtherHazNetCostYr2_,OtherHazNetCostYr3_,OtherHazNetCostYr4_,OtherHazNetCostYr5_,OtherHazNetCostYr6_,OtherHazNetCostYr7_,OtherHazNetCostYr8_,OtherHazNetCostYr9_,OtherHazNetCostYr10_
82,0,10699077.12,-295017.7785,8627535.759,-1430111.235,0,-4001111.769,0,0,0
83,0,0,0,8092764.203,0,0,0,0,0,0
84,157510.848,0,0,0,0,0,0,0,0,0
85,4598056.773,-3558233.477,8029704.404,0,9863.087444,0,0,0,0,0
86,0,0,10081441.06,13877.29764,-7569.014768,-8816400.636,7707150.377,0,-3195575.95,0
87,0,0,2348225.477,7387350.497,-5833532.197,-2120644.929,0,0,0,0
88,0,0,0,0,0,0,0,0,336636.573,-173423.0835
89,0,0,0,0,1933970.091,0,0,0,132323.5016,0
90,0,3390243.82,0,-2295648.257,0,0,0,1285820.123,13249.30445,0
91,0,0,14.13350243,0,0,10107.89731,-8278.220783,0,199323.382,4075530.635
92,0,0,0,1946464.816,0,139647.5961,0,8262126.611,0,5738391.036
93,0,0.200327806,0,-0.157342956,0,8078638.083,941602.7037,-5341342.143,0,-659297.3996
94,0,2.568432684,4801573.796,3845049.083,-4582951.756,22.91534998,-20.42808138,1704659.19,0,0
95,30555.49433,0,6.663350962,0,0,0,0,10920851.38,0,5869173.443
96,0,11753009.77,-7503880.243,0,0,0,0,0,54211.46782,0
97,9616.112204,0,0,0,0,0,0,0,0,0
98,0,0,10134523.24,-7605509.144,0,53437564.11,-23147640.8,0,0,0
99,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,13715152.25,0
101,0,0,0,0,0,10910609.87,0,-2955949.603,0,0
102,0,0,56275415.25,0,0,-4687319.16,0,0,-556252.2762,0
103,0,0,0,0,0,10547557.72,0,0,0,0
104,0,0,0,0,0,0,0,51278.38621,11604134.75,199744.0876
105,5627035.491,0,2882.59594,0,178392.2258,-136194.4307,0,0,0,0
106,0,0,8707032.178,5566294.658,4.99889E-05,423379.9457,0,0,0,0
107,4919104.262,-2863599.872,0,0,13269266,0,0,0,1028.390786,0
108,0,0,0,0,0,0,0,0,1.837364484,-1.149636141
109,0.027154524,0,0,0,4369585.389,-3119623.019,8604296.113,0,0,0
110,0,0,0.062201661,-0.000158078,0,0,0,0,9741605.911,-6364741.219
111,0,0,0,0,0,0,0,0,0,0
112,0,11663553.11,0,0,0,0,0,136351.8048,0,0
113,0,0,1891640.6,12976357.8,178.1043189,13056798.65,2802.654128,0,-11150933.11,0
114,12558515,-3446.363979,-10900197.31,10700541.95,62916.70426,0,0.733580779,-0.597873553,0,0
115,3250835.699,-2412291.673,0,0,11411422.12,-8466730.491,26807892.71,-15589521.68,27914.96933,5490.086113
116,2080.89839,0,1509750.272,0,9543153.058,0,0,0,5967681.622,0
117,0,0,4.699311154,0,1518161.487,0,4463.599646,-2647.687615,0.000547918,-0.000418087
118,57436.12202,0,0,0,0,23.12239751,0,16951.76421,0,0
119,0,0,0,0,9091348.163,0,0,0,0,0
120,0,0,0,7509541.684,-6214319.711,0,4773172.763,-3280942.604,0,21195213.07
121,1096833.625,0,1768123.848,0,0,-13.79051534,0,0.000152247,0,10567648.84
122,0,0.00093181,0,183084.0686,165040.5294,165577.1764,0,0,0,0
123,0.37892025,917893.8376,0,0,10445764.76,13432112.27,-7110899.888,-10919193,0,0
124,14130997.46,-24134.48449,0,0,0,0,0,0,0,0
125,25852.5027,0,0,0,0.897654901,0,0,0,0,0
