trial,sequence,event_id,economic_loss,insured_loss,pa_loss
530,1,134,270390526,13519526.3,10544843.64
534,1,135,708383400.2,35419170.01,22610584.82
540,1,136,257766338.1,12888316.9,10197075
557,1,137,583402064,29170103.2,19167623.66
559,1,138,843200757.1,42160037.85,26324506.74
564,1,139,586170033.7,29308501.69,19243875.14
567,1,140,131790966.8,6589548.339,6726730.36
572,1,141,79694063.05,3984703.152,5291575.147
574,1,142,937438292.8,46871914.64,28920543.75
587,1,143,165496952.8,8274847.64,7655256.205
590,2,144,443581644.5,22179082.22,15315878.36
591,1,145,332527066.3,16626353.32,12256568.78
594,1,146,225421433.7,11271071.69,9306043.969
595,1,147,153745245.4,7687262.268,7331522.49
602,1,148,226281585.2,11314079.26,9329739.252
604,1,149,640394191,32019709.55,20737631.51
616,1,150,289417195.9,14470859.8,11068986.58
618,1,151,1843832594,92191629.72,53889714.93
619,1,152,186781100.4,9339055.018,8241587.698
622,1,153,107357594.7,5367879.735,6053644.652
627,1,154,280198389.7,14009919.48,10815028.73
632,1,155,197810873.7,9890543.687,8545433.716
640,1,156,247635672.8,12381783.64,9917997.438
641,1,157,559231084.8,27961554.24,18501766.3
641,2,158,253746598.9,12687329.95,10086340.02
641,3,159,260367180,13018359,10268722.48
651,1,160,675012344.8,33750617.24,21691285.58
653,1,161,137999943.5,6899997.174,6897774.024
659,1,162,361876829.6,18093841.48,13065090.26
662,1,163,473375241.8,23668762.09,16136626.49
672,1,164,367860320.1,18393016,13229922.27
673,1,165,147183358.2,7359167.909,7150756.918
680,1,166,211196445.3,10559822.27,8914176.798
682,1,167,302034229.3,15101711.47,11416558.13
682,2,168,829824232.8,41491211.64,25956012.89
685,1,169,106729145,5336457.251,6036332.245
691,1,170,415565286.2,20778264.31,14544089.26
695,1,171,108447387.6,5422369.378,6083666.051
700,1,172,428858016.4,21442900.82,14910274.76
702,1,173,253213619.7,12660680.98,10071657.62
704,1,174,973438683.5,48671934.17,29912275.41
709,1,175,118819050.4,5940952.521,6369382.571
715,1,176,1401720290,70086014.51,41710492.51
716,1,177,762641964.4,38132098.22,24105289.03
720,1,178,226062605.9,11303130.3,9323706.853
720,2,179,276098063.9,13804903.2,10702073.77
